framework,cryptid,size_bytes
AFNetworking.framework,1,485328
Alamofire.framework,1,2518432
AliyunOSSiOS.framework,1,1013824
AmplitudeSwift.framework,1,1640832
AnalyticsConnector.framework,1,187008
App.framework,1,18128352
AutoScrollLabel.framework,1,106912
Aztec.framework,1,2259120
BFKit.framework,1,347712
BRPickerView.framework,1,403360
CNIOAtomics.framework,1,144208
CNIODarwin.framework,1,90624
CNIOHTTPParser.framework,1,113184
CNIOLinux.framework,1,88944
CNIOSHA1.framework,1,88864
CNIOWindows.framework,1,87808
CocoaAsyncSocket.framework,1,374208
CocoaLumberjack.framework,1,465952
CryptoSwift.framework,1,1347680
DKImagePickerController.framework,1,1120416
DKPhotoGallery.framework,1,853296
FBLPromises.framework,1,192496
FCFileManager.framework,1,138464
FMDB.framework,1,185680
FileMD5Hash.framework,1,90672
Flutter.framework,1,9857536
GTMSessionFetcher.framework,1,405760
GoogleDataTransport.framework,1,383232
GoogleToolboxForMac.framework,1,136400
GoogleUtilities.framework,1,152560
HandyJSON.framework,1,506672
IQKeyboardManager.framework,1,332432
KSCrash.framework,1,849888
KeychainAccess.framework,1,376000
Kingfisher.framework,1,1960096
MJRefresh.framework,1,269568
Masonry.framework,1,180496
NIO.framework,1,108640
NIOConcurrencyHelpers.framework,1,391920
NIOCore.framework,1,1394240
NIOEmbedded.framework,1,261072
NIOFoundationCompat.framework,1,170608
NIOHTTP1.framework,1,712880
NIOPosix.framework,1,1188592
NIOWebSocket.framework,1,325968
NordicDFU.framework,1,1022944
OpenSSL.framework,1,2593184
Reachability.framework,1,176384
Realm.framework,1,10013504
RealmSwift.framework,1,2827632
SDBridgeSwift.framework,1,180288
SDWebImage.framework,1,907104
SSZipArchive.framework,1,236688
SnapKit.framework,1,358304
StarryCast.framework,1,93040
StarryCastCommon.framework,1,102384
StarryLog.framework,1,489408
StarryLogUI.framework,1,503056
StarryLogWebServer.framework,1,293296
StarryNet.framework,1,4369680
Starscream.framework,1,541824
SwiftProtobuf.framework,1,3353280
Swifter.framework,1,1325488
SwiftyGif.framework,1,262624
TTTAttributedLabel.framework,1,192608
Toast.framework,1,130304
WordPressEditor.framework,1,546336
XJDebug.framework,1,313440
XJNetWork.framework,1,485024
YYCache.framework,1,195888
YYText.framework,1,857088
ZIPFoundation.framework,1,489488
ZipArchive.framework,1,145760
_NIODataStructures.framework,1,152416
ble2301.framework,1,92176
connectivity_plus.framework,1,168384
device_info_plus.framework,1,93744
file_picker.framework,1,163152
flutter_blue_plus.framework,1,187760
flutter_keyboard_visibility.framework,1,95856
flutter_local_notifications.framework,1,159312
flutter_timezone.framework,1,92480
heresdk.framework,1,57580144
image_gallery_saver.framework,1,195200
image_picker_ios.framework,1,203392
libpag.framework,1,2130640
myvu_config_plugin.framework,1,116336
nanopb.framework,1,96960
nordic_otas_plugin.framework,1,151760
open_settings_plus.framework,1,147216
package_info_plus.framework,1,93088
path_provider_foundation.framework,1,161824
shared_preferences_foundation.framework,1,220512
sqflite.framework,1,273312
status_bar_control.framework,1,93744
url_launcher_ios.framework,1,208288
vibration.framework,1,149520
volume_controller.framework,1,165792
webview_flutter_wkwebview.framework,1,551584
