entry,name,size_bytes,instrs,decomp_ok,file
0x100007b0,FUN_100007b0,10,4,1,100007b0_FUN_100007b0
0x100007c0,FUN_100007c0,136,58,1,100007c0_FUN_100007c0
0x1000096c,FUN_1000096c,154,70,1,1000096c_FUN_1000096c
0x10000a38,FUN_10000a38,216,89,1,10000a38_FUN_10000a38
0x10000a70,FUN_10000a70,96,39,1,10000a70_FUN_10000a70
0x10000b54,FUN_10000b54,46,18,1,10000b54_FUN_10000b54
0x10000b94,FUN_10000b94,28,11,1,10000b94_FUN_10000b94
0x10000bb4,FUN_10000bb4,34,12,1,10000bb4_FUN_10000bb4
0x10000be4,FUN_10000be4,20,8,1,10000be4_FUN_10000be4
0x10000c04,FUN_10000c04,80,33,1,10000c04_FUN_10000c04
0x10000c74,FUN_10000c74,104,38,1,10000c74_FUN_10000c74
0x10000cf0,FUN_10000cf0,28,11,1,10000cf0_FUN_10000cf0
0x10000d18,FUN_10000d18,26,11,1,10000d18_FUN_10000d18
0x10000d40,FUN_10000d40,20,8,1,10000d40_FUN_10000d40
0x10000d5c,FUN_10000d5c,12,5,1,10000d5c_FUN_10000d5c
0x10000d70,FUN_10000d70,12,5,1,10000d70_FUN_10000d70
0x10000d84,FUN_10000d84,20,8,1,10000d84_FUN_10000d84
0x10000da4,FUN_10000da4,10,5,1,10000da4_FUN_10000da4
0x10000db8,FUN_10000db8,54,21,1,10000db8_FUN_10000db8
0x10000e00,FUN_10000e00,304,127,1,10000e00_FUN_10000e00
0x10000f4c,FUN_10000f4c,42,18,1,10000f4c_FUN_10000f4c
0x10000f80,FUN_10000f80,14,6,1,10000f80_FUN_10000f80
0x10000f8e,FUN_10000f8e,324,122,1,10000f8e_FUN_10000f8e
0x10001124,FUN_10001124,46,17,1,10001124_FUN_10001124
0x100011e4,FUN_100011e4,992,368,1,100011e4_FUN_100011e4
0x10001720,FUN_10001720,38,16,1,10001720_FUN_10001720
0x1000175e,FUN_1000175e,32,14,1,1000175e_FUN_1000175e
0x10001786,FUN_10001786,26,10,1,10001786_FUN_10001786
0x10001848,FUN_10001848,36,11,1,10001848_FUN_10001848
0x100018ac,FUN_100018ac,92,34,1,100018ac_FUN_100018ac
0x10001914,FUN_10001914,66,23,1,10001914_FUN_10001914
0x10001956,FUN_10001956,84,36,1,10001956_FUN_10001956
0x100019c4,FUN_100019c4,114,44,1,100019c4_FUN_100019c4
0x10001af4,FUN_10001af4,58,27,1,10001af4_FUN_10001af4
0x10001bb8,FUN_10001bb8,38,17,1,10001bb8_FUN_10001bb8
0x10001c5c,FUN_10001c5c,68,25,1,10001c5c_FUN_10001c5c
0x10001ca4,FUN_10001ca4,20,9,1,10001ca4_FUN_10001ca4
0x10001cbc,FUN_10001cbc,142,53,1,10001cbc_FUN_10001cbc
0x10001d50,FUN_10001d50,384,155,1,10001d50_FUN_10001d50
0x10001f08,FUN_10001f08,410,155,1,10001f08_FUN_10001f08
0x100020b4,FUN_100020b4,170,70,1,100020b4_FUN_100020b4
0x100021da,FUN_100021da,930,323,1,100021da_FUN_100021da
0x10002490,FUN_10002490,190,72,1,10002490_FUN_10002490
0x1000257c,FUN_1000257c,68,24,1,1000257c_FUN_1000257c
0x10002640,FUN_10002640,540,197,1,10002640_FUN_10002640
0x100028fe,FUN_100028fe,66,27,1,100028fe_FUN_100028fe
0x10002940,FUN_10002940,368,137,1,10002940_FUN_10002940
0x10002ab8,FUN_10002ab8,672,263,1,10002ab8_FUN_10002ab8
0x10003048,FUN_10003048,10,5,1,10003048_FUN_10003048
0x10003058,FUN_10003058,10,5,1,10003058_FUN_10003058
0x10003088,FUN_10003088,10,5,1,10003088_FUN_10003088
