idx,offset_hex,size_bytes,frames,samplerate,channels,approx_sec,file
0,0x431a64,5999,13,16000,1,0.83,00_off431a64_16000Hz_1ch_0.83s.aac
1,0x4331d4,18610,31,8000,1,3.97,01_off4331d4_8000Hz_1ch_3.97s.aac
2,0x437a88,54167,126,16000,1,8.06,02_off437a88_16000Hz_1ch_8.06s.aac
3,0x444e20,1699,5,16000,1,0.32,03_off444e20_16000Hz_1ch_0.32s.aac
4,0x4454c4,10962,28,16000,1,1.79,04_off4454c4_16000Hz_1ch_1.79s.aac
5,0x447f98,5857,28,44100,1,0.65,05_off447f98_44100Hz_1ch_0.65s.aac
6,0x44967c,26349,45,16000,1,2.88,06_off44967c_16000Hz_1ch_2.88s.aac
7,0x44fd6c,7834,45,44100,1,1.04,07_off44fd6c_44100Hz_1ch_1.04s.aac
8,0x451c08,6919,39,44100,1,0.91,08_off451c08_44100Hz_1ch_0.91s.aac
9,0x453710,22099,40,16000,1,2.56,09_off453710_16000Hz_1ch_2.56s.aac
10,0x458d64,4337,26,44100,1,0.6,10_off458d64_44100Hz_1ch_0.6s.aac
11,0x459e58,3811,25,44100,1,0.58,11_off459e58_44100Hz_1ch_0.58s.aac
12,0x45ad3c,8026,42,44100,1,0.98,12_off45ad3c_44100Hz_1ch_0.98s.aac
13,0x45cc98,5743,34,44100,1,0.79,13_off45cc98_44100Hz_1ch_0.79s.aac
14,0x45e308,9767,54,44100,1,1.25,14_off45e308_44100Hz_1ch_1.25s.aac
15,0x460930,7059,16,16000,1,1.02,15_off460930_16000Hz_1ch_1.02s.aac
16,0x4624c4,881,4,16000,1,0.26,16_off4624c4_16000Hz_1ch_0.26s.aac
17,0x462838,4878,24,44100,1,0.56,17_off462838_44100Hz_1ch_0.56s.aac
