fileoff,w,h,dsc_off,data_size,palette_opaque_count,period16?,notes
0x30fd40,8,8,0x33811c,96,5,N,ok;coh=0.071;score=0.000;opaque_ge2;strips=1;rowmajor
0x30fdc0,204,92,0x338194,9448,2,N,ok;coh=0.140;score=0.009;opaque_ge2;strips=2
0x3122c0,40,22,0x33a69c,504,3,N,ok;coh=0.115;score=0.006;opaque_ge2;strips=1;rowmajor
0x312500,40,22,0x33a8ac,504,2,N,ok;coh=0.180;score=0.015;opaque_ge2;strips=1;rowmajor
0x312740,20,28,0x33aaec,344,2,N,ok;coh=0.144;score=0.009;opaque_ge2;strips=1;rowmajor
0x3128c0,20,20,0x33ac8c,264,5,N,ok;coh=0.149;score=0.010;opaque_ge2;strips=1;rowmajor
0x312a00,204,62,0x33adbc,6388,6,N,ok;coh=0.148;score=0.010;opaque_ge2;strips=2
0x314380,8,8,0x33c740,96,2,N,ok;coh=0.089;score=0.000;opaque_ge2;strips=1;rowmajor
0x314400,16,16,0x33c7d4,192,4,N,ok;coh=0.104;score=0.004;opaque_ge2;strips=1;rowmajor
0x314500,24,24,0x33c8b4,352,4,N,ok;coh=0.111;score=0.005;opaque_ge2;strips=1;rowmajor
0x314680,26,24,0x33ca54,376,2,N,ok;coh=0.100;score=0.005;opaque_ge2;strips=1;rowmajor
0x314840,26,24,0x33cbec,376,6,N,ok;coh=0.101;score=0.005;opaque_ge2;strips=1;rowmajor
0x314a00,26,24,0x33cdac,376,5,N,ok;coh=0.144;score=0.010;opaque_ge2;strips=1;rowmajor
0x314bc0,12,24,0x33cf6c,208,2,N,ok;coh=0.114;score=0.005;opaque_ge2;strips=1;rowmajor
0x314cc0,44,44,0x33d084,1032,5,N,ok;coh=0.133;score=0.008;opaque_ge2;strips=1;rowmajor
0x315100,26,24,0x33d4bc,376,2,N,ok;coh=0.159;score=0.011;opaque_ge2;strips=1;rowmajor
0x3152c0,26,24,0x33d66c,376,3,N,ok;coh=0.129;score=0.008;opaque_ge2;strips=1;rowmajor
0x3158c0,44,44,0x33dc7c,1032,2,N,ok;coh=0.152;score=0.010;opaque_ge2;strips=1;rowmajor
0x315d00,26,24,0x33e0bc,376,1,N,ok;coh=0.117;score=0.006;a0_transp;strips=1;rowmajor
0x315ec0,26,24,0x33e26c,376,2,N,ok;coh=0.103;score=0.005;opaque_ge2;strips=1;rowmajor
0x316240,70,70,0x33e5ec,2514,7,N,ok;coh=0.129;score=0.008;opaque_ge2;strips=1;rowmajor
0x316c40,44,44,0x33f008,1032,4,N,ok;coh=0.117;score=0.006;opaque_ge2;strips=1;rowmajor
0x317080,12,24,0x33f43c,208,3,N,ok;coh=0.111;score=0.006;opaque_ge2;strips=1;rowmajor
0x317180,26,24,0x33f544,376,4,N,ok;coh=0.138;score=0.009;opaque_ge2;strips=1;rowmajor
0x317340,256,80,0x33f6ec,10304,3,N,ok;coh=0.124;score=0.007;opaque_ge2;strips=3
0x319bc0,10,24,0x341f74,184,2,N,ok;coh=0.268;score=0.000;opaque_ge2;strips=1;rowmajor
0x31a080,28,28,0x342464,456,2,N,ok;coh=0.215;score=0.016;opaque_ge2;strips=1;rowmajor
0x31a280,26,24,0x34263c,376,2,N,ok;coh=0.254;score=0.010;opaque_ge2;strips=1;rowmajor
0x31b040,48,48,0x3433ec,1216,1,N,ok;coh=0.298;score=0.029;a0_transp;strips=1;rowmajor
0x31b540,64,64,0x3438f4,2112,4,N,ok;coh=0.403;score=0.057;opaque_ge2;strips=1;rowmajor
0x31c2c0,26,24,0x344674,376,3,N,ok;coh=0.336;score=0.014;opaque_ge2;strips=1;rowmajor
0x31c480,64,64,0x34482c,2112,2,N,ok;coh=0.404;score=0.059;opaque_ge2;strips=1;rowmajor
0x31d9c0,26,24,0x345d74,376,2,N,ok;coh=0.129;score=0.007;opaque_ge2;strips=1;rowmajor
0x33a800,32,44,0x362bb4,768,5,N,ok;coh=0.664;score=0.201;opaque_ge2;strips=1;rowmajor
0x33ab40,32,44,0x362ef4,768,0,N,ok;coh=0.708;score=0.304;a0_allzero;strips=1;rowmajor
0x33cf00,32,44,0x3652b4,768,0,N,ok;coh=0.780;score=0.000;a0_allzero;strips=1;rowmajor
0x33d240,32,44,0x3655f4,768,1,N,ok;coh=0.758;score=0.000;a0_transp;strips=1;rowmajor
0x33d8c0,32,44,0x365c74,768,0,N,ok;coh=0.688;score=0.148;a0_allzero;strips=1;rowmajor
0x33dc00,32,44,0x365fb4,768,0,N,ok;coh=0.762;score=0.128;a0_allzero;strips=1;rowmajor
0x33df40,32,44,0x3662f4,768,5,N,ok;coh=0.856;score=0.000;opaque_ge2;strips=1;rowmajor
0x33e900,32,44,0x366cb4,768,2,N,ok;coh=0.707;score=0.211;opaque_ge2;strips=1;rowmajor
0x33ec40,32,44,0x366ff4,768,1,N,ok;coh=0.779;score=0.327;a0_transp;strips=1;rowmajor
0x33ef80,32,44,0x367334,768,0,N,ok;coh=0.816;score=0.000;a0_allzero;strips=1;rowmajor
0x33f600,32,44,0x3679b4,768,4,N,ok;coh=0.780;score=0.251;opaque_ge2;strips=1;rowmajor
0x341d00,32,44,0x36a0b4,768,0,N,ok;coh=0.840;score=0.316;a0_allzero;strips=1;rowmajor
0x342a00,32,44,0x36adb4,768,2,N,ok;coh=0.761;score=0.577;opaque_ge2;strips=1;rowmajor
0x342d40,32,44,0x36b0f4,768,2,N,ok;coh=0.684;score=0.000;opaque_ge2;strips=1;rowmajor
0x343700,32,44,0x36bab4,768,3,N,ok;coh=0.715;score=0.437;opaque_ge2;strips=1;rowmajor
0x343a40,32,44,0x36bdf4,768,0,N,ok;coh=0.734;score=0.302;a0_allzero;strips=1;rowmajor
0x343d80,32,44,0x36c134,768,4,N,ok;coh=0.747;score=0.300;opaque_ge2;strips=1;rowmajor
0x3440c0,52,52,0x36c474,1416,0,N,ok;coh=0.700;score=0.310;a0_allzero;strips=1;rowmajor
0x344900,26,26,0x36ccb4,402,0,N,ok;coh=0.920;score=0.000;a0_allzero;strips=1;rowmajor
0x344ac0,36,36,0x36ce88,712,4,N,ok;coh=0.554;score=0.318;opaque_ge2;strips=1;rowmajor
0x344dc0,24,24,0x36d17c,352,2,N,ok;coh=0.830;score=0.000;opaque_ge2;strips=1;rowmajor
0x346fc0,36,36,0x36f374,712,3,N,ok;coh=0.663;score=0.356;opaque_ge2;strips=1;rowmajor
0x349600,36,36,0x3719b8,712,0,N,ok;coh=0.759;score=0.000;a0_allzero;strips=1;rowmajor
0x34a300,26,26,0x3726c8,402,4,N,ok;coh=0.630;score=0.000;opaque_ge2;strips=1;rowmajor
0x34bb00,28,28,0x373edc,456,3,N,ok;coh=0.620;score=0.000;opaque_ge2;strips=1;rowmajor
0x34f5c0,48,48,0x377990,1216,0,N,ok;coh=0.933;score=0.000;a0_allzero;strips=1;rowmajor
0x34fac0,28,28,0x377e74,456,4,N,ok;coh=0.656;score=0.000;opaque_ge2;strips=1;rowmajor
0x34fcc0,40,40,0x37807c,864,2,N,ok;coh=0.837;score=0.000;a0_transp;strips=1;rowmajor
0x350040,28,28,0x378414,456,2,N,ok;coh=0.836;score=0.000;a0_transp;strips=1;rowmajor
0x350240,56,56,0x3785fc,1632,2,N,ok;coh=0.849;score=0.525;a0_transp;strips=1;rowmajor
0x3508c0,40,40,0x378c94,864,2,N,ok;coh=0.691;score=0.646;opaque_ge2;strips=1;rowmajor
0x350c40,12,17,0x379014,166,3,N,ok;coh=0.720;score=0.000;opaque_ge2;strips=1;rowmajor
0x352280,112,112,0x37a658,6336,8,N,ok;coh=0.839;score=0.670;opaque_ge2;strips=1;rowmajor
0x353f00,32,32,0x37c2d4,576,4,N,ok;coh=0.583;score=0.000;opaque_ge2;strips=1;rowmajor
0x354180,36,36,0x37c534,712,5,N,ok;coh=0.819;score=0.000;opaque_ge2;strips=1;rowmajor
0x354580,176,128,0x37c964,11328,0,N,ok;coh=0.798;score=1.156;a0_allzero;strips=2
0x35e080,40,40,0x38645c,864,0,N,ok;coh=0.861;score=0.000;a0_allzero;strips=1;rowmajor
0x35e500,44,44,0x3868d8,1032,0,N,ok;coh=0.751;score=0.292;a0_allzero;strips=1;rowmajor
0x35f340,40,40,0x387714,864,4,N,ok;coh=0.816;score=0.000;a0_transp;strips=1;rowmajor
0x360700,112,112,0x388abc,6336,4,N,ok;coh=0.760;score=0.000;a0_transp;strips=1;rowmajor
0x362380,112,112,0x38a754,6336,4,N,ok;coh=0.775;score=0.495;a0_transp;strips=1;rowmajor
0x363c80,40,40,0x38c034,864,0,N,ok;coh=0.777;score=0.000;a0_allzero;strips=1;rowmajor
0x364bc0,112,112,0x38cf94,6336,0,N,ok;coh=0.814;score=0.500;a0_allzero;strips=1;rowmajor
0x36b3c0,40,40,0x393798,864,0,N,ok;coh=0.774;score=0.000;a0_allzero;strips=1;rowmajor
0x36d040,146,146,0x3953f4,10722,3,N,ok;coh=0.781;score=0.543;opaque_ge2;strips=2
0x3737c0,32,32,0x39bb74,576,4,N,ok;coh=0.089;score=0.003;opaque_ge2;strips=1;rowmajor
0x373ac0,220,72,0x39be7c,7984,2,N,ok;coh=0.196;score=0.014;opaque_ge2;strips=2
0x375d00,48,48,0x39e0b4,1216,3,N,ok;coh=0.086;score=0.004;opaque_ge2;strips=1;rowmajor
0x376600,256,256,0x39e9c4,32832,3,N,ok;coh=0.708;score=0.260;opaque_ge2;strips=3
0x386e40,40,40,0x3af1f4,864,10,N,ok;coh=0.823;score=0.421;opaque_ge2;strips=1;rowmajor
0x3871c0,399,145,0x3af594,29064,5,N,ok;coh=0.623;score=0.187;opaque_ge2;strips=4
0x394940,36,36,0x3bccf0,712,6,N,ok;coh=0.490;score=0.152;opaque_ge2;strips=1;rowmajor
0x394c40,280,280,0x3bcffc,39264,6,N,ok;coh=0.856;score=1.101;opaque_ge2;strips=3
0x39ee40,64,64,0x3c71f4,2112,4,N,ok;coh=0.896;score=0.000;opaque_ge2;strips=1;rowmajor
0x3a74c0,120,120,0x3cf890,7264,0,N,ok;coh=0.929;score=0.000;a0_allzero;strips=2
0x3acd80,120,120,0x3d5134,7264,0,N,ok;coh=0.947;score=0.000;a0_allzero;strips=2
0x3b3f00,80,80,0x3dc2e8,3264,0,N,ok;coh=0.940;score=0.000;a0_allzero;strips=1;rowmajor
0x3b4f40,120,120,0x3dd2fc,7264,0,N,ok;coh=0.872;score=0.626;a0_allzero;strips=2
0x3b6e40,64,64,0x3df1f4,2112,2,N,ok;coh=0.069;score=0.002;opaque_ge2;strips=1;rowmajor
0x3b76c0,32,32,0x3dfa74,576,5,N,ok;coh=0.079;score=0.003;opaque_ge2;strips=1;rowmajor
0x3b7940,24,24,0x3dfcf4,352,2,N,ok;coh=0.083;score=0.003;opaque_ge2;strips=1;rowmajor
0x3b7ac0,20,20,0x3dfe94,264,3,N,ok;coh=0.067;score=0.002;opaque_ge2;strips=1;rowmajor
0x3b7c80,36,36,0x3e0040,712,2,N,ok;coh=0.079;score=0.003;opaque_ge2;strips=1;rowmajor
0x3bb780,36,36,0x3e3b44,712,6,N,ok;coh=0.085;score=0.003;opaque_ge2;strips=1;rowmajor
0x3c3a00,48,48,0x3ebdb0,1216,1,N,ok;coh=0.893;score=0.000;a0_transp;strips=1;rowmajor
0x3c3f00,48,48,0x3ec2b4,1216,2,N,ok;coh=0.894;score=0.000;opaque_ge2;strips=1;rowmajor
0x3c6200,48,48,0x3ee5b4,1216,1,N,ok;coh=0.882;score=0.000;a0_transp;strips=1;rowmajor
0x3c8740,48,48,0x3f0b28,1216,3,N,ok;coh=0.070;score=0.002;opaque_ge2;strips=1;rowmajor
0x3c8c40,44,36,0x3f0ff4,856,4,N,ok;coh=0.067;score=0.002;opaque_ge2;strips=1;rowmajor
0x3c94c0,48,48,0x3f1874,1216,3,N,ok;coh=0.068;score=0.002;opaque_ge2;strips=1;rowmajor
0x3ca8c0,48,48,0x3f2c74,1216,2,N,ok;coh=0.066;score=0.002;opaque_ge2;strips=1;rowmajor
