entry,name,size_bytes,instrs,decomp_ok,file
0x2c000070,FUN_2c000070,134,39,1,2c000070_FUN_2c000070
0x2c000558,FUN_2c000558,152,46,1,2c000558_FUN_2c000558
0x2c0005f4,FUN_2c0005f4,396,113,1,2c0005f4_FUN_2c0005f4
0x2c0009f4,FUN_2c0009f4,6,3,1,2c0009f4_FUN_2c0009f4
0x2c000d20,FUN_2c000d20,4226,1376,1,2c000d20_FUN_2c000d20
0x2c001eb4,FUN_2c001eb4,140,42,1,2c001eb4_FUN_2c001eb4
0x2c002454,FUN_2c002454,86,32,1,2c002454_FUN_2c002454
0x2c002654,FUN_2c002654,100,37,1,2c002654_FUN_2c002654
0x2c0027c8,FUN_2c0027c8,94,42,1,2c0027c8_FUN_2c0027c8
0x2c002840,FUN_2c002840,42,20,1,2c002840_FUN_2c002840
0x2c002a5c,FUN_2c002a5c,114,44,1,2c002a5c_FUN_2c002a5c
0x2c002b54,FUN_2c002b54,114,44,1,2c002b54_FUN_2c002b54
0x2c002ee8,FUN_2c002ee8,8,4,1,2c002ee8_FUN_2c002ee8
0x2c002ef4,FUN_2c002ef4,54,19,1,2c002ef4_FUN_2c002ef4
0x2c002f6c,FUN_2c002f6c,16,6,1,2c002f6c_FUN_2c002f6c
0x2c002f7c,FUN_2c002f7c,16,7,1,2c002f7c_FUN_2c002f7c
0x2c0031a0,FUN_2c0031a0,78,27,1,2c0031a0_FUN_2c0031a0
0x2c003304,FUN_2c003304,466,176,1,2c003304_FUN_2c003304
0x2c003518,FUN_2c003518,10,5,1,2c003518_FUN_2c003518
0x2c003528,FUN_2c003528,10,5,1,2c003528_FUN_2c003528
0x2c003558,FUN_2c003558,10,5,1,2c003558_FUN_2c003558
0x2c003568,FUN_2c003568,10,5,1,2c003568_FUN_2c003568
0x2c0035a8,FUN_2c0035a8,10,5,1,2c0035a8_FUN_2c0035a8
0x2c0035b8,FUN_2c0035b8,10,5,1,2c0035b8_FUN_2c0035b8
0x2c0035e8,FUN_2c0035e8,10,5,1,2c0035e8_FUN_2c0035e8
0x2c0035f8,FUN_2c0035f8,10,5,1,2c0035f8_FUN_2c0035f8
0x2c003618,FUN_2c003618,10,5,1,2c003618_FUN_2c003618
0x2c003628,FUN_2c003628,10,5,1,2c003628_FUN_2c003628
0x2c003648,FUN_2c003648,10,5,1,2c003648_FUN_2c003648
0x2c003658,FUN_2c003658,10,5,1,2c003658_FUN_2c003658
0x2c003698,FUN_2c003698,10,5,1,2c003698_FUN_2c003698
0x2c0036a8,FUN_2c0036a8,10,5,1,2c0036a8_FUN_2c0036a8
0x2c0036b8,FUN_2c0036b8,10,5,1,2c0036b8_FUN_2c0036b8
0x2c0036e8,FUN_2c0036e8,10,5,1,2c0036e8_FUN_2c0036e8
0x2c0036f8,FUN_2c0036f8,10,5,1,2c0036f8_FUN_2c0036f8
0x2c003708,FUN_2c003708,10,5,1,2c003708_FUN_2c003708
0x2c003718,FUN_2c003718,10,5,1,2c003718_FUN_2c003718
0x2c003728,FUN_2c003728,10,5,1,2c003728_FUN_2c003728
0x2c003748,FUN_2c003748,10,5,1,2c003748_FUN_2c003748
0x2c003758,FUN_2c003758,10,5,1,2c003758_FUN_2c003758
0x2c003778,FUN_2c003778,10,5,1,2c003778_FUN_2c003778
0x2c003788,FUN_2c003788,10,5,1,2c003788_FUN_2c003788
0x2c0037a8,FUN_2c0037a8,10,5,1,2c0037a8_FUN_2c0037a8
0x2c0037b8,FUN_2c0037b8,10,5,1,2c0037b8_FUN_2c0037b8
0x2c0037c8,FUN_2c0037c8,10,5,1,2c0037c8_FUN_2c0037c8
0x2c0037e8,FUN_2c0037e8,10,5,1,2c0037e8_FUN_2c0037e8
0x2c003808,FUN_2c003808,10,5,1,2c003808_FUN_2c003808
0x2c003818,FUN_2c003818,10,5,1,2c003818_FUN_2c003818
0x2c003828,FUN_2c003828,10,5,1,2c003828_FUN_2c003828
0x2c003838,FUN_2c003838,10,5,1,2c003838_FUN_2c003838
0x2c003848,FUN_2c003848,10,5,1,2c003848_FUN_2c003848
0x2c003888,FUN_2c003888,10,5,1,2c003888_FUN_2c003888
0x2c003898,FUN_2c003898,10,5,1,2c003898_FUN_2c003898
0x2c0038a8,FUN_2c0038a8,10,5,1,2c0038a8_FUN_2c0038a8
0x2c0038b8,FUN_2c0038b8,10,5,1,2c0038b8_FUN_2c0038b8
0x2c00395c,FUN_2c00395c,70,23,1,2c00395c_FUN_2c00395c
0x2c003a7c,FUN_2c003a7c,144,44,1,2c003a7c_FUN_2c003a7c
0x2c003b20,FUN_2c003b20,28,10,1,2c003b20_FUN_2c003b20
